product_name,description,product_category_tree,retail_price,discounted_price,brand,clean_product_name,clean_description,main_category,category_encoded
Absurd Full Sleeve Solid Men's Sweatshirt,Absurd Full Sleeve Solid Men's Sweatshirt - Buy Royal Absurd Full Sleeve Solid Men's Sweatshirt For Only Rs. 1375 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweatshirts >> Absurd Sweatshirts""]",1375.0,1095.0,Unknown Brand,absurd full sleeve solid men sweatshirt,absurd full sleeve solid men sweatshirt buy royal absurd full sleeve solid men sweatshirt r 1375 online india shop online apparel huge collection branded clothes flipkartcom,Clothing,43
Escocer Women's Leggings,"Escocer Women's Leggings (Pack of 6)
                         Price: Rs. 788
				
			Product color may slightly vary due to photographic lighting sources or your monitor settings.This Is Cotton Lycra Leggings, The Colours Are Rich Colours. We Controlled Shrinkage, Colour Fastness & Spirality's. Its We Use - 5% Elastane, 95% Cotton To Make a Fabric - This Leggings Give U Soft And Comfort Feel In The Time of Wearing. ::::::::::Escocer White Cotton Leggings
Product color may slightly vary due to photographic lighting sources or your monitor settings.This Is Cotton Lycra Leggings, The Colours Are Rich Colours. We Controlled Shrinkage, Colour Fastness & Spirality's. Its We Use - 5% Elastane, 95% Cotton To Make a Fabric - This Leggings Give U Soft And Comfort Feel In The Time of Wearing. ::::::::::Escocer White Cotton Leggings","[""Clothing >> Women's Clothing >> Western Wear >> Leggings & Jeggings >> Leggings & Jeggings >> Escocer Leggings & Jeggings""]",2394.0,788.0,Unknown Brand,escocer womens legging,escocer womens legging pack 6 price r 788product color may slightly vary due photographic lighting source monitor settingsthis cotton lycra legging colour rich colour controlled shrinkage colour fastness spiralitys use 5 elastane 95 cotton make fabric legging give u soft comfort feel time wearing escocer white cotton leggingsproduct color may slightly vary due photographic lighting source monitor settingsthis cotton lycra legging colour rich colour controlled shrinkage colour fastness spiralitys use 5 elastane 95 cotton make fabric legging give u soft comfort feel time wearing escocer white cotton legging,Clothing,43
Absurd Full Sleeve Solid Men's Reversible Sweatshirt,Absurd Full Sleeve Solid Men's Reversible Sweatshirt - Buy Anthra Absurd Full Sleeve Solid Men's Reversible Sweatshirt For Only Rs. 1799 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweatshirts >> Absurd Sweatshirts""]",1799.0,1650.0,Unknown Brand,absurd full sleeve solid men reversible sweatshirt,absurd full sleeve solid men reversible sweatshirt buy anthra absurd full sleeve solid men reversible sweatshirt r 1799 online india shop online apparel huge collection branded clothes flipkartcom,Clothing,43
Absurd Full Sleeve Solid Men's Sweatshirt,Absurd Full Sleeve Solid Men's Sweatshirt - Buy Navy Absurd Full Sleeve Solid Men's Sweatshirt For Only Rs. 1395 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Sweatshirts >> Absurd Sweatshirts""]",1395.0,1195.0,Unknown Brand,absurd full sleeve solid men sweatshirt,absurd full sleeve solid men sweatshirt buy navy absurd full sleeve solid men sweatshirt r 1395 online india shop online apparel huge collection branded clothes flipkartcom,Clothing,43
Selfcare Soft & Comfortable Newly Launched Girl's Top - Pyjama Set,"Selfcare Soft & Comfortable Newly Launched Girl's Top - Pyjama Set
                         Price: Rs. 319
				
			Selfcare launches thermals for kids. After great customer satisfaction in women thermals last year. We have entered in kids & babies thermals. Ensuring the same old comfort & warmth that Selfcare thermals provided youlast year in womens category. Must try on your kids will love it.
Selfcare launches thermals for kids. After great customer satisfaction in women thermals last year. We have entered in kids & babies thermals. Ensuring the same old comfort & warmth that Selfcare thermals provided youlast year in womens category. Must try on your kids will love it.","[""Clothing >> Kids' Clothing >> Girls Wear >> Winter & Seasonal Wear >> Thermals >> Selfcare Thermals""]",699.0,319.0,Unknown Brand,selfcare soft comfortable newly launched girl top pyjama set,selfcare soft comfortable newly launched girl top pyjama set price r 319selfcare launch thermal kid great customer satisfaction woman thermal last year entered kid baby thermal ensuring old comfort warmth selfcare thermal provided youlast year womens category must try kid love itselfcare launch thermal kid great customer satisfaction woman thermal last year entered kid baby thermal ensuring old comfort warmth selfcare thermal provided youlast year womens category must try kid love,Clothing,43
WearYourShine by PCJ The Melina Gold Diamond 18 K Ring,"WearYourShine by PCJ The Melina Gold Diamond 18 K Ring
                         Price: Rs. 23,949
				
			Please note all diamonds are of Clarity-VSSI and Color-JK. WearYourShine by PC Jeweller features an expert curation of fine jewellery pieces that are expressive of the women of today. These pieces are designed to become the newest keepsakes in your life!
Please note all diamonds are of Clarity-VSSI and Color-JK. WearYourShine by PC Jeweller features an expert curation of fine jewellery pieces that are expressive of the women of today. These pieces are designed to become the newest keepsakes in your life!","[""Jewellery >> Rings""]",23949.0,23949.0,WearYourShine by PCJ,wearyourshine pcj melina gold diamond 18 k ring,wearyourshine pcj melina gold diamond 18 k ring price r 23949please note diamond clarityvssi colorjk wearyourshine pc jeweller feature expert curation fine jewellery piece expressive woman today piece designed become newest keepsake lifeplease note diamond clarityvssi colorjk wearyourshine pc jeweller feature expert curation fine jewellery piece expressive woman today piece designed become newest keepsake life,Jewellery,99
WearYourShine by PCJ The Radelle Diamond Gold Diamond Yellow Gold 18 K Ring,"WearYourShine by PCJ The Radelle Diamond Gold Diamond Yellow Gold 18 K Ring
                         Price: Rs. 31,673
				
			Please note all diamonds are of Clarity-VSSI and Color-JK. WearYourShine by PC Jeweller features an expert curation of fine jewellery pieces that are expressive of the women of today. These pieces are designed to become the newest keepsakes in your life!
Please note all diamonds are of Clarity-VSSI and Color-JK. WearYourShine by PC Jeweller features an expert curation of fine jewellery pieces that are expressive of the women of today. These pieces are designed to become the newest keepsakes in your life!","[""Jewellery >> Rings""]",31673.0,31673.0,WearYourShine by PCJ,wearyourshine pcj radelle diamond gold diamond yellow gold 18 k ring,wearyourshine pcj radelle diamond gold diamond yellow gold 18 k ring price r 31673please note diamond clarityvssi colorjk wearyourshine pc jeweller feature expert curation fine jewellery piece expressive woman today piece designed become newest keepsake lifeplease note diamond clarityvssi colorjk wearyourshine pc jeweller feature expert curation fine jewellery piece expressive woman today piece designed become newest keepsake life,Jewellery,99
WearYourShine by PCJ The Helaine Gold Diamond 18 K Ring,"WearYourShine by PCJ The Helaine Gold Diamond 18 K Ring
                         Price: Rs. 31,663
				
			Please note all diamonds are of Clarity-VSSI and Color-JK. WearYourShine by PC Jeweller features an expert curation of fine jewellery pieces that are expressive of the women of today. These pieces are designed to become the newest keepsakes in your life!
Please note all diamonds are of Clarity-VSSI and Color-JK. WearYourShine by PC Jeweller features an expert curation of fine jewellery pieces that are expressive of the women of today. These pieces are designed to become the newest keepsakes in your life!","[""Jewellery >> Rings""]",31663.0,31663.0,WearYourShine by PCJ,wearyourshine pcj helaine gold diamond 18 k ring,wearyourshine pcj helaine gold diamond 18 k ring price r 31663please note diamond clarityvssi colorjk wearyourshine pc jeweller feature expert curation fine jewellery piece expressive woman today piece designed become newest keepsake lifeplease note diamond clarityvssi colorjk wearyourshine pc jeweller feature expert curation fine jewellery piece expressive woman today piece designed become newest keepsake life,Jewellery,99
Ozel Studio Casual 3/4 Sleeve Solid Women's Top,"Ozel Studio Casual 3/4 Sleeve Solid Women's Top
                         Price: Rs. 1,200
				
			3/4th Sleeve cotton top with net on Shoulder by Ozel Studio.
3/4th Sleeve cotton top with net on Shoulder by Ozel Studio.","[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Ozel Studio Tops""]",2400.0,1200.0,Unknown Brand,ozel studio casual 34 sleeve solid womens top,ozel studio casual 34 sleeve solid womens top price r 120034th sleeve cotton top net shoulder ozel studio34th sleeve cotton top net shoulder ozel studio,Clothing,43
Ozel Studio Casual Sleeveless Solid Women's Top,Ozel Studio Casual Sleeveless Solid Women's Top - Buy Off White Ozel Studio Casual Sleeveless Solid Women's Top For Only Rs. 1190 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Ozel Studio Tops""]",1190.0,595.0,Unknown Brand,ozel studio casual sleeveless solid womens top,ozel studio casual sleeveless solid womens top buy white ozel studio casual sleeveless solid womens top r 1190 online india shop online apparel huge collection branded clothes flipkartcom,Clothing,43
Shopaholic Casual 3/4 Sleeve Solid Women's Top,"Shopaholic Casual 3/4 Sleeve Solid Women's Top
                         Price: Rs. 499
				
			This stylish top is a summer wardrobe staple. Team it up with a pair of jeans or jeggings and heels or flat shoes for a chic look
This stylish top is a summer wardrobe staple. Team it up with a pair of jeans or jeggings and heels or flat shoes for a chic look","[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Shopaholic Tops""]",1299.0,499.0,Unknown Brand,shopaholic casual 34 sleeve solid womens top,shopaholic casual 34 sleeve solid womens top price r 499this stylish top summer wardrobe staple team pair jean jeggings heel flat shoe chic lookthis stylish top summer wardrobe staple team pair jean jeggings heel flat shoe chic look,Clothing,43
Fashion Flow+ Women's Leggings,"Fashion Flow+ Women's Leggings - Buy Blue, Orange, Blue Fashion Flow+ Women's Leggings For Only Rs. 1199 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com","[""Clothing >> Women's Clothing >> Western Wear >> Leggings & Jeggings >> Leggings & Jeggings >> Fashion Flow+ Leggings & Jeggings""]",1199.0,499.0,Unknown Brand,fashion flow womens legging,fashion flow womens legging buy blue orange blue fashion flow womens legging r 1199 online india shop online apparel huge collection branded clothes flipkartcom,Clothing,43
Ozel Studio Casual Short Sleeve Solid Women's Top,"Ozel Studio Casual Short Sleeve Solid Women's Top
                         Price: Rs. 2,000
				
			Lacy top with Shoulder Frills by ozel Studio.
Lacy top with Shoulder Frills by ozel Studio.","[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Ozel Studio Tops""]",4000.0,2000.0,Unknown Brand,ozel studio casual short sleeve solid womens top,ozel studio casual short sleeve solid womens top price r 2000lacy top shoulder frill ozel studiolacy top shoulder frill ozel studio,Clothing,43
Ozel Studio Casual Full Sleeve Solid Women's Top,"Ozel Studio Casual Full Sleeve Solid Women's Top
                         Price: Rs. 1,050
				
			Wrap yourself with chic contours. This royal blue top from OZEL Studio has a wrap V-neck that extends till the hem, a high back collar and full sleeves. A front knit and woven back accentuate its style elements. Tie your hair, wear light make-up, add nude peep-toes with formal trousers and voila, you are ready to take on the world.
Wrap yourself with chic contours. This royal blue top from OZEL Studio has a wrap V-neck that extends till the hem, a high back collar and full sleeves. A front knit and woven back accentuate its style elements. Tie your hair, wear light make-up, add nude peep-toes with formal trousers and voila, you are ready to take on the world.","[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Ozel Studio Tops""]",1450.0,1050.0,Unknown Brand,ozel studio casual full sleeve solid womens top,ozel studio casual full sleeve solid womens top price r 1050wrap chic contour royal blue top ozel studio wrap vneck extends till hem high back collar full sleeve front knit woven back accentuate style element tie hair wear light makeup add nude peeptoes formal trouser voila ready take worldwrap chic contour royal blue top ozel studio wrap vneck extends till hem high back collar full sleeve front knit woven back accentuate style element tie hair wear light makeup add nude peeptoes formal trouser voila ready take world,Clothing,43
Shilpi Casual Cape Sleeve Solid Women's Top,Shilpi Casual Cape Sleeve Solid Women's Top - Buy White Shilpi Casual Cape Sleeve Solid Women's Top For Only Rs. 499 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Shilpi Tops""]",499.0,359.0,Unknown Brand,shilpi casual cape sleeve solid womens top,shilpi casual cape sleeve solid womens top buy white shilpi casual cape sleeve solid womens top r 499 online india shop online apparel huge collection branded clothes flipkartcom,Clothing,43
Yepme Casual Short Sleeve Solid Women's Top,Yepme Casual Short Sleeve Solid Women's Top - Buy Ecru & Purple Yepme Casual Short Sleeve Solid Women's Top For Only Rs. 999 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Yepme Tops""]",999.0,399.0,Unknown Brand,yepme casual short sleeve solid womens top,yepme casual short sleeve solid womens top buy ecru purple yepme casual short sleeve solid womens top r 999 online india shop online apparel huge collection branded clothes flipkartcom,Clothing,43
Ozel Studio Casual Sleeveless Solid Women's Top,"Ozel Studio Casual Sleeveless Solid Women's Top
                         Price: Rs. 999
				
			A semi sheer Georgette top featuring delicate sequin on button front.
A semi sheer Georgette top featuring delicate sequin on button front.","[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Ozel Studio Tops""]",999.0,999.0,Unknown Brand,ozel studio casual sleeveless solid womens top,ozel studio casual sleeveless solid womens top price r 999a semi sheer georgette top featuring delicate sequin button fronta semi sheer georgette top featuring delicate sequin button front,Clothing,43
Ozel Studio Casual Full Sleeve Solid Women's Top,Ozel Studio Casual Full Sleeve Solid Women's Top - Buy Pink Ozel Studio Casual Full Sleeve Solid Women's Top For Only Rs. 1450 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Ozel Studio Tops""]",1450.0,1015.0,Unknown Brand,ozel studio casual full sleeve solid womens top,ozel studio casual full sleeve solid womens top buy pink ozel studio casual full sleeve solid womens top r 1450 online india shop online apparel huge collection branded clothes flipkartcom,Clothing,43
CaratLane Swish Ray White Gold Diamond 18 K Ring,CaratLane Swish Ray White Gold Diamond 18 K Ring - Buy CaratLane Swish Ray White Gold Diamond 18 K Ring only for Rs. 31062 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Jewellery >> Rings""]",31062.0,31062.0,CaratLane,caratlane swish ray white gold diamond 18 k ring,caratlane swish ray white gold diamond 18 k ring buy caratlane swish ray white gold diamond 18 k ring r 31062 flipkartcom genuine product 30 day replacement guarantee free shipping cash delivery,Jewellery,99
WearYourShine by PCJ The Maryse Diamond Gold Diamond Yellow Gold 18 K Ring,"WearYourShine by PCJ The Maryse Diamond Gold Diamond Yellow Gold 18 K Ring
                         Price: Rs. 20,717
				
			Please note all diamonds are of Clarity-VSSI and Color-JK. WearYourShine by PC Jeweller features an expert curation of fine jewellery pieces that are expressive of the women of today. These pieces are designed to become the newest keepsakes in your life!
Please note all diamonds are of Clarity-VSSI and Color-JK. WearYourShine by PC Jeweller features an expert curation of fine jewellery pieces that are expressive of the women of today. These pieces are designed to become the newest keepsakes in your life!","[""Jewellery >> Rings""]",20717.0,20717.0,WearYourShine by PCJ,wearyourshine pcj maryse diamond gold diamond yellow gold 18 k ring,wearyourshine pcj maryse diamond gold diamond yellow gold 18 k ring price r 20717please note diamond clarityvssi colorjk wearyourshine pc jeweller feature expert curation fine jewellery piece expressive woman today piece designed become newest keepsake lifeplease note diamond clarityvssi colorjk wearyourshine pc jeweller feature expert curation fine jewellery piece expressive woman today piece designed become newest keepsake life,Jewellery,99
Claude Lorrain Black Casuals Shoes,Claude Lorrain Black Casuals Shoes - Buy Claude Lorrain Black Casuals Shoes - CL-AC-WO-72 only for Rs. 1299 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Footwear >> Women's Footwear >> Casual Shoes""]",2750.0,1299.0,Unknown Brand,claude lorrain black casuals shoe,claude lorrain black casuals shoe buy claude lorrain black casuals shoe clacwo72 r 1299 flipkartcom genuine product 30 day replacement guarantee free shipping cash delivery,Footwear,74
Steppings Running Shoes Casuals Shoes,"Steppings Running Shoes Casuals Shoes
                         Price: Rs. 2,589
				
			Feel on the top of the world with this pair of Shoes by STEPpings. Let the sun go down for uncomfortable sandals, opt for this pair of Flats that is crafted using a comfortable sole. Team this pair with a midi skirt and a floral crop top for an ultimate look.
Feel on the top of the world with this pair of Shoes by STEPpings. Let the sun go down for uncomfortable sandals, opt for this pair of Flats that is crafted using a comfortable sole. Team this pair with a midi skirt and a floral crop top for an ultimate look.","[""Footwear >> Women's Footwear >> Casual Shoes""]",3699.0,2589.0,Unknown Brand,steppings running shoe casuals shoe,steppings running shoe casuals shoe price r 2589feel top world pair shoe steppings let sun go uncomfortable sandal opt pair flat crafted using comfortable sole team pair midi skirt floral crop top ultimate lookfeel top world pair shoe steppings let sun go uncomfortable sandal opt pair flat crafted using comfortable sole team pair midi skirt floral crop top ultimate look,Footwear,74
Steppings Wedges Casuals Shoes,"Steppings Wedges Casuals Shoes
                         Price: Rs. 2,309
				
			Feel on the top of the world with this pair of Shoes by STEPpings. Let the sun go down for uncomfortable sandals, opt for this pair of Flats that is crafted using a comfortable sole. Team this pair with a midi skirt and a floral crop top for an ultimate look.
Feel on the top of the world with this pair of Shoes by STEPpings. Let the sun go down for uncomfortable sandals, opt for this pair of Flats that is crafted using a comfortable sole. Team this pair with a midi skirt and a floral crop top for an ultimate look.","[""Footwear >> Women's Footwear >> Casual Shoes""]",3299.0,2309.0,Unknown Brand,steppings wedge casuals shoe,steppings wedge casuals shoe price r 2309feel top world pair shoe steppings let sun go uncomfortable sandal opt pair flat crafted using comfortable sole team pair midi skirt floral crop top ultimate lookfeel top world pair shoe steppings let sun go uncomfortable sandal opt pair flat crafted using comfortable sole team pair midi skirt floral crop top ultimate look,Footwear,74
Steppings Running Shoes Casuals Shoes,"Steppings Running Shoes Casuals Shoes
                         Price: Rs. 2,099
				
			Feel on the top of the world with this pair of Shoes by STEPpings. Let the sun go down for uncomfortable sandals, opt for this pair of Flats that is crafted using a comfortable sole. Team this pair with a midi skirt and a floral crop top for an ultimate look.
Feel on the top of the world with this pair of Shoes by STEPpings. Let the sun go down for uncomfortable sandals, opt for this pair of Flats that is crafted using a comfortable sole. Team this pair with a midi skirt and a floral crop top for an ultimate look.","[""Footwear >> Women's Footwear >> Casual Shoes""]",2999.0,2099.0,Unknown Brand,steppings running shoe casuals shoe,steppings running shoe casuals shoe price r 2099feel top world pair shoe steppings let sun go uncomfortable sandal opt pair flat crafted using comfortable sole team pair midi skirt floral crop top ultimate lookfeel top world pair shoe steppings let sun go uncomfortable sandal opt pair flat crafted using comfortable sole team pair midi skirt floral crop top ultimate look,Footwear,74
Bonzer Bellies,Bonzer Bellies - Buy Bonzer Bellies - BNZ-26 only for Rs. 399 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Footwear >> Women's Footwear >> Ballerinas""]",699.0,399.0,Unknown Brand,bonzer belly,bonzer belly buy bonzer belly bnz26 r 399 flipkartcom genuine product 30 day replacement guarantee free shipping cash delivery,Footwear,74
Araanz by Tribhovandas Bhimji Zaveri Delhi Gold Diamond 18K Yellow Gold 18 K Ring,Araanz by Tribhovandas Bhimji Zaveri Delhi Gold Diamond 18K Yellow Gold 18 K Ring - Buy Araanz by Tribhovandas Bhimji Zaveri Delhi Gold Diamond 18K Yellow Gold 18 K Ring only for Rs. 12576 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,"[""Jewellery >> Rings""]",15720.0,12576.0,Araanz by Tribhovandas Bhimji Zaveri Delhi,araanz tribhovandas bhimji zaveri delhi gold diamond 18k yellow gold 18 k ring,araanz tribhovandas bhimji zaveri delhi gold diamond 18k yellow gold 18 k ring buy araanz tribhovandas bhimji zaveri delhi gold diamond 18k yellow gold 18 k ring r 12576 flipkartcom genuine product 30 day replacement guarantee free shipping cash delivery,Jewellery,99
Nishtaa Yellow Gold 22 K Ring,"Nishtaa Yellow Gold 22 K Ring
                         Price: Rs. 11,286
				
			NISHTAA presents stunning range of rings in 22kt plain gold and Swarovski Cubic Zirconia studded jewellery. Light weight rings, where each piece of jewellery is crafted exquisitely to match the beauty and purity of feelings. Light-weight Ring helps express varying emotions ? whether at family functions, social occasions, or at the workplace. All NISHTAA products are 916 Hallmarked and BIS certified. All NISHTAA Products come with a Jewellery Box and Guarantee card.
NISHTAA presents stunning range of rings in 22kt plain gold and Swarovski Cubic Zirconia studded jewellery. Light weight rings, where each piece of jewellery is crafted exquisitely to match the beauty and purity of feelings. Light-weight Ring helps express varying emotions ? whether at family functions, social occasions, or at the workplace. All NISHTAA products are 916 Hallmarked and BIS certified. All NISHTAA Products come with a Jewellery Box and Guarantee card.","[""Jewellery >> Rings""]",11880.0,11286.0,Nishtaa,nishtaa yellow gold 22 k ring,nishtaa yellow gold 22 k ring price r 11286nishtaa present stunning range ring 22kt plain gold swarovski cubic zirconia studded jewellery light weight ring piece jewellery crafted exquisitely match beauty purity feeling lightweight ring help express varying emotion whether family function social occasion workplace nishtaa product 916 hallmarked bi certified nishtaa product come jewellery box guarantee cardnishtaa present stunning range ring 22kt plain gold swarovski cubic zirconia studded jewellery light weight ring piece jewellery crafted exquisitely match beauty purity feeling lightweight ring help express varying emotion whether family function social occasion workplace nishtaa product 916 hallmarked bi certified nishtaa product come jewellery box guarantee card,Jewellery,99
Nishtaa Yellow Gold 22 K Ring,"Nishtaa Yellow Gold 22 K Ring
                         Price: Rs. 8,265
				
			NISHTAA presents stunning range of rings in 22kt plain gold and Swarovski Cubic Zirconia studded jewellery. Light weight rings, where each piece of jewellery is crafted exquisitely to match the beauty and purity of feelings. Light-weight Ring helps express varying emotions ? whether at family functions, social occasions, or at the workplace. All NISHTAA products are 916 Hallmarked and BIS certified. All NISHTAA Products come with a Jewellery Box and Guarantee card.
NISHTAA presents stunning range of rings in 22kt plain gold and Swarovski Cubic Zirconia studded jewellery. Light weight rings, where each piece of jewellery is crafted exquisitely to match the beauty and purity of feelings. Light-weight Ring helps express varying emotions ? whether at family functions, social occasions, or at the workplace. All NISHTAA products are 916 Hallmarked and BIS certified. All NISHTAA Products come with a Jewellery Box and Guarantee card.","[""Jewellery >> Rings""]",8700.0,8265.0,Nishtaa,nishtaa yellow gold 22 k ring,nishtaa yellow gold 22 k ring price r 8265nishtaa present stunning range ring 22kt plain gold swarovski cubic zirconia studded jewellery light weight ring piece jewellery crafted exquisitely match beauty purity feeling lightweight ring help express varying emotion whether family function social occasion workplace nishtaa product 916 hallmarked bi certified nishtaa product come jewellery box guarantee cardnishtaa present stunning range ring 22kt plain gold swarovski cubic zirconia studded jewellery light weight ring piece jewellery crafted exquisitely match beauty purity feeling lightweight ring help express varying emotion whether family function social occasion workplace nishtaa product 916 hallmarked bi certified nishtaa product come jewellery box guarantee card,Jewellery,99
Gritstones Solid Women's Track Pants,"Gritstones Solid Women's Track Pants
                         Price: Rs. 499
				
			
	These drawstring capri track pants are perfect for the stylish and sporty girl. The fit is flattering to all body types and is sure to add that extra wow factor to your wardrobe. Team these with a well fitted tee to complete the look.
These drawstring capri track pants are perfect for the stylish and sporty girl. The fit is flattering to all body types and is sure to add that extra wow factor to your wardrobe. Team these with a well fitted tee to complete the look.","[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Track Pants >> Gritstones Track Pants""]",599.0,499.0,Unknown Brand,gritstone solid womens track pant,gritstone solid womens track pant price r 499these drawstring capri track pant perfect stylish sporty girl fit flattering body type sure add extra wow factor wardrobe team well fitted tee complete lookthese drawstring capri track pant perfect stylish sporty girl fit flattering body type sure add extra wow factor wardrobe team well fitted tee complete look,Clothing,43
Gritstones Solid Women's Track Pants,"Gritstones Solid Women's Track Pants
                         Price: Rs. 499
				
			
	Let your sporty side out with these well fitted track pants which are sure to make heads turn. Comfort and style are both achieved perfectly with this item. Pair it with a well fitted tee or tank for that perfect sporty style.
Let your sporty side out with these well fitted track pants which are sure to make heads turn. Comfort and style are both achieved perfectly with this item. Pair it with a well fitted tee or tank for that perfect sporty style.","[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Track Pants >> Gritstones Track Pants""]",599.0,499.0,Unknown Brand,gritstone solid womens track pant,gritstone solid womens track pant price r 499let sporty side well fitted track pant sure make head turn comfort style achieved perfectly item pair well fitted tee tank perfect sporty stylelet sporty side well fitted track pant sure make head turn comfort style achieved perfectly item pair well fitted tee tank perfect sporty style,Clothing,43
Gritstones Solid Women's Track Pants,"Gritstones Solid Women's Track Pants
                         Price: Rs. 499
				
			Stylish and mod, these track pants are a must have item for every girls wardrobe. Stand out of the crowd with the unique and exclusive side detailing.
Stylish and mod, these track pants are a must have item for every girls wardrobe. Stand out of the crowd with the unique and exclusive side detailing.","[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Track Pants >> Gritstones Track Pants""]",599.0,499.0,Unknown Brand,gritstone solid womens track pant,gritstone solid womens track pant price r 499stylish mod track pant must item every girl wardrobe stand crowd unique exclusive side detailingstylish mod track pant must item every girl wardrobe stand crowd unique exclusive side detailing,Clothing,43
Gritstones Solid Women's Track Pants,"Gritstones Solid Women's Track Pants
                         Price: Rs. 499
				
			Stylish and comfortable, these track pants are designed to suit all body types. The added stripe detailing makes it a trendy and glam and is a must have in your wardrobe.
Stylish and comfortable, these track pants are designed to suit all body types. The added stripe detailing makes it a trendy and glam and is a must have in your wardrobe.","[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Track Pants >> Gritstones Track Pants""]",599.0,499.0,Unknown Brand,gritstone solid womens track pant,gritstone solid womens track pant price r 499stylish comfortable track pant designed suit body type added stripe detailing make trendy glam must wardrobestylish comfortable track pant designed suit body type added stripe detailing make trendy glam must wardrobe,Clothing,43
Tapyti Casual Sleeveless Solid Women's Top,Tapyti Casual Sleeveless Solid Women's Top - Buy Dusty Blue Tapyti Casual Sleeveless Solid Women's Top For Only Rs. 795 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Tapyti Tops""]",795.0,398.0,Unknown Brand,tapyti casual sleeveless solid womens top,tapyti casual sleeveless solid womens top buy dusty blue tapyti casual sleeveless solid womens top r 795 online india shop online apparel huge collection branded clothes flipkartcom,Clothing,43
Tapyti Casual Short Sleeve Solid Women's Top,"Tapyti Casual Short Sleeve Solid Women's Top
                         Price: Rs. 681
				
			black front lace yoke with elasticated sleeve top in ggt
black front lace yoke with elasticated sleeve top in ggt","[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Tapyti Tops""]",1135.0,681.0,Unknown Brand,tapyti casual short sleeve solid womens top,tapyti casual short sleeve solid womens top price r 681black front lace yoke elasticated sleeve top ggtblack front lace yoke elasticated sleeve top ggt,Clothing,43
Tapyti Casual Short Sleeve Solid Women's Top,"Tapyti Casual Short Sleeve Solid Women's Top
                         Price: Rs. 681
				
			white front lace yoke with elasticated sleeve top in ggt
white front lace yoke with elasticated sleeve top in ggt","[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Tapyti Tops""]",1135.0,681.0,Unknown Brand,tapyti casual short sleeve solid womens top,tapyti casual short sleeve solid womens top price r 681white front lace yoke elasticated sleeve top ggtwhite front lace yoke elasticated sleeve top ggt,Clothing,43
Tapyti Casual 3/4 Sleeve Solid Women's Top,"Tapyti Casual 3/4 Sleeve Solid Women's Top
                         Price: Rs. 610
				
			coral 3/4th sleeves top with Black bow on neck band
coral 3/4th sleeves top with Black bow on neck band","[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Tapyti Tops""]",845.0,610.0,Unknown Brand,tapyti casual 34 sleeve solid womens top,tapyti casual 34 sleeve solid womens top price r 610coral 34th sleeve top black bow neck bandcoral 34th sleeve top black bow neck band,Clothing,43
